sub,ses,run-1,run-2,run-3,run-4,run-5,run-6,run-7,run-8,run-9,run-10,run-11,run-12
sub-00007,ses-19,acceptmap-experience_acq-rightface,acceptmap-experience_acq-leftface,acceptmap-experience_acq-rightface,acceptmap-experience_acq-leftface,distractmap2_acq-rightface,,,,,,,
sub-00007,ses-20,distractmap2_acq-rightface,,,,,,,,,,,
sub-00008,ses-01,movemap,movemap,movemap,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,,,,,,,
sub-00008,ses-02,hyperalignment_acq-restingstate,pinel,,,,,,,,,,
sub-00008,ses-03,bodymapST1_acq-rightarm,bodymapST1_acq-abdomen,bodymapST1_acq-leftleg,bodymapST1_acq-rightleg,pinellocalizer,,,,,,,
sub-00008,ses-04,bodymapST2_acq-rightface,bodymapST2_acq-chest,bodymapST2_acq-leftface,bodymapST2_acq-leftarm,,,,,,,,
sub-00008,ses-05,bodymapST1_acq-rightarm,bodymapST1_acq-rightleg,bodymapST1_acq-leftleg,bodymapST1_acq-abdomen,pinellocalizer,,,,,,,
sub-00008,ses-06,bodymapST2_acq-leftface,bodymapST2_acq-rightface,bodymapST2_acq-chest,bodymapST2_acq-leftarm,,,,,,,,
sub-00008,ses-07,bodymapST1_acq-abdomen,bodymapST1_acq-rightleg,bodymapST1_acq-rightarm,bodymapST1_acq-leftleg,pinellocalizer,,,,,,,
sub-00008,ses-08,bodymapST2_acq-chest,bodymapST2_acq-leftface,bodymapST2_acq-rightface,bodymapST2_acq-leftarm,,,,,,,,
sub-00008,ses-09,bodymapST1_acq-rightleg,bodymapST1_acq-abdomen,bodymapST1_acq-rightarm,bodymapST1_acq-leftleg,pinellocalizer,,,,,,,
sub-00008,ses-10,bodymapST1_acq-rightarm,bodymapST1_acq-rightleg,bodymapST1_acq-abdomen,bodymapST1_acq-leftleg,,,,,,,,
sub-00008,ses-11,bodymapST2_acq-leftface,bodymapST2_acq-rightface,bodymapST2_acq-leftarm,bodymapST2_acq-chest,,,,,,,,
sub-00008,ses-12,bodymapST1_acq-rightarm,bodymapST1_acq-rightleg,bodymapST1_acq-leftleg,bodymapST1_acq-abdomen,pinellocalizer,,,,,,,
sub-00008,ses-13,bodymapST2_acq-chest,bodymapST2_acq-leftface,bodymapST2_acq-rightface,bodymapST2_acq-leftarm,,,,,,,,
sub-00008,ses-14,distractmap1_acq-abdomen,distractmap1_acq-rightarm,distractmap1_acq-leftleg,distractmap1_acq-rightleg,,,,,,,,
sub-00008,ses-15,distractmap2_acq-leftface,distractmap2_acq-chest,distractmap2_acq-rightface,distractmap2_acq-leftarm,,,,,,,,
sub-00008,ses-16,acceptmap-experience_acq-leftface,acceptmap-experience_acq-chest,acceptmap-experience_acq-leftface,acceptmap-experience_acq-chest,,,,,,,,
sub-00008,ses-17,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-chest,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-chest,,,,,,,,
sub-00008,ses-18,distractmap1_acq-leftface,distractmap1_acq-chest,distractmap1_acq-leftface,distractmap1_acq-chest,pinellocalizer,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,
sub-00008,ses-19,distractmap2_acq-leftface,distractmap2_acq-chest,distractmap2_acq-leftface,distractmap2_acq-chest,movemap,movemap,movemap,pinellocalizer,,,,
sub-00009,ses-01,bodymapST1_acq-leftface,bodymapST1_acq-rightface,bodymapST1_acq-leftarm,bodymapST1_acq-leftleg,pinellocalizer,,,,,,,
sub-00009,ses-02,bodymapST1_acq-leftface,bodymapST1_acq-leftleg,bodymapST1_acq-rightface,bodymapST1_acq-leftarm,pinellocalizer,,,,,,,
sub-00009,ses-03,bodymapST2_acq-rightleg,bodymapST2_acq-abdomen,bodymapST2_acq-rightarm,bodymapST2_acq-chest,pinellocalizer,,,,,,,
sub-00009,ses-04,bodymapST1_acq-rightface,bodymapST1_acq-leftface,bodymapST1_acq-leftleg,bodymapST1_acq-leftarm,pinellocalizer,,,,,,,
sub-00009,ses-05,bodymapST2_acq-abdomen,bodymapST2_acq-rightleg,',bodymapST2_acq-rightarm,bodymapST2_acq-chest,,,,,,,
sub-00009,ses-06,bodymapST1_acq-rightarm,,,,,,,,,,,
sub-00009,ses-07,bodymapST2_acq-rightarm,bodymapST2_acq-chest,',bodymapST2_acq-abdomen,bodymapST2_acq-leftleg,,,,,,,
sub-00009,ses-08,',bodymapST1_acq-leftarm,bodymapST1_acq-leftleg,bodymapST1_acq-rightface,bodymapST1_acq-leftface,pinellocalizer,,,,,,
sub-00009,ses-09,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,bodymapST1_acq-leftleg,bodymapST1_acq-leftface,pinellocalizer,,,,,,,
sub-00009,ses-09,movemap,movemap,movemap,,,,,,,,,
sub-00009,ses-10,bodymapST2_acq-rightarm,bodymapST2_acq-rightleg,bodymapST2_acq-chest,bodymapST2_acq-abdomen,pinellocalizer,,,,,,,
sub-00009,ses-11,bodymapST1_acq-leftface,bodymapST1_acq-leftleg,bodymapST1_acq-leftarm,bodymapST1_acq-rightface,pinellocalizer,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,bodymapST2_acq-rightleg,bodymapST2_acq-chest,bodymapST2_acq-rightarm,bodymapST2_acq-abdomen
sub-00009,ses-12,distractmap1_acq-leftface,distractmap1_acq-abdomen,distractmap1_acq-leftface,distractmap1_acq-abdomen,,,,,,,,
sub-00009,ses-13,distractmap2_acq-leftface,distractmap2_acq-abdomen,distractmap2_acq-leftface,distractmap2_acq-abdomen,,,,,,,,
sub-00009,ses-14,acceptmap-regulate_acq-abdomen,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-abdomen,acceptmap-regulate_acq-leftface,,,,,,,,
sub-00009,ses-15,acceptmap-experience_acq-abdomen,,,,,,,,,,,
sub-00009,ses-16,',acceptmap-regulate_acq-abdomen,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-abdomen,acceptmap-regulate_acq-leftface,,,,,,,
sub-00009,ses-17,acceptmap-experience_acq-abdomen,acceptmap-experience_acq-leftface,acceptmap-experience_acq-abdomen,acceptmap-experience_acq-leftface,,,,,,,,
sub-00010,ses-01,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,,,,
sub-01001,ses-01,bodymapST1_acq-abdomen,bodymapST1_acq-leftleg,bodymapST1_acq-rightleg,bodymapST1_acq-rightface,pinellocalizer,,,,,,,
sub-01001,ses-02,bodymapST2_acq-leftarm,bodymapST2_acq-rightarm,bodymapST2_acq-leftface,bodymapST2_acq-chest,,,,,,,,
sub-01001,ses-03,movemap,movemap,movemap,,,,,,,,,
sub-01001,ses-04,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,,,,,,,,,
sub-01001,ses-05,distractmap_acq-leftleg,distractmap_acq-abdomen,distractmap_acq-leftarm,distractmap_acq-rightleg,distractmap_acq-rightface,distractmap_acq-rightarm,,,,,,
sub-01002,ses-01,bodymapST1_acq-abdomen,bodymapST1_acq-leftarm,bodymapST1_acq-leftface,bodymapST1_acq-rightarm,pinellocalizer,,,,,,,
sub-01002,ses-02,bodymapST2_acq-rightface,bodymapST2_acq-leftleg,bodymapST2_acq-rightleg,bodymapST2_acq-chest,pinellocalizer,,,,,,,
sub-01002,ses-03,movemap,movemap,movemap,pinellocalizer,,,,,,,,
sub-01002,ses-04,bodymapST2_acq-rightface,bodymapST2_acq-rightleg,bodymapST2_acq-chest,bodymapST2_acq-leftleg,,,,,,,,
sub-01002,ses-05,distractmap1_acq-leftarm,distractmap1_acq-leftface,distractmap1_acq-abdomen,distractmap1_acq-rightarm,,,,,,,,
sub-01002,ses-06,distractmap2_acq-chest,distractmap2_acq-rightface,distractmap2_acq-rightleg,distractmap2_acq-leftleg,pinellocalizer,,,,,,,
sub-01002,ses-07,hyperalignment_acq-kungfury,hyperalignment_acq-inscapes,hyperalignment_acq-restingstate,pinellocalizer,,,,,,,,
sub-01002,ses-08,',acceptmap-pre-exp_acq-leftarm,acceptmap-pre-exp_acq-leftface,,,,,,,,,
sub-01002,ses-09,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightface,acceptmap-regulate_acq-leftface,acceptmap-regulate_acq-rightface,,,,,,,,
